Connecting to host 10.0.0.1, port 1111
[  7] local 10.0.0.3 port 34570 connected to 10.0.0.1 port 1111
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.00   sec  4.49 MBytes  37.6 Mbits/sec    0    522 KBytes       
[  7]   1.00-2.00   sec  21.9 MBytes   184 Mbits/sec    0    776 KBytes       
[  7]   2.00-3.00   sec  13.8 MBytes   115 Mbits/sec    0    776 KBytes       
[  7]   3.00-4.00   sec  16.2 MBytes   137 Mbits/sec    0    776 KBytes       
[  7]   4.00-5.00   sec  22.5 MBytes   189 Mbits/sec    0    776 KBytes       
[  7]   5.00-6.00   sec  13.8 MBytes   115 Mbits/sec    0    776 KBytes       
[  7]   6.00-7.00   sec  3.75 MBytes  31.4 Mbits/sec    0    776 KBytes       
[  7]   7.00-8.00   sec  20.0 MBytes   168 Mbits/sec    0    776 KBytes       
[  7]   8.00-9.00   sec  8.75 MBytes  73.3 Mbits/sec    0    776 KBytes       
[  7]   9.00-10.00  sec  8.75 MBytes  73.4 Mbits/sec    0    913 KBytes       
[  7]  10.00-11.00  sec  17.5 MBytes   147 Mbits/sec    0    913 KBytes       
[  7]  11.00-12.00  sec  20.0 MBytes   168 Mbits/sec    0    913 KBytes       
[  7]  12.00-13.00  sec  21.2 MBytes   178 Mbits/sec    0    913 KBytes       
[  7]  13.00-14.00  sec  11.2 MBytes  94.4 Mbits/sec    0    913 KBytes       
[  7]  14.00-15.00  sec  23.8 MBytes   199 Mbits/sec    0    913 KBytes       
[  7]  15.00-16.01  sec  12.5 MBytes   104 Mbits/sec    0    913 KBytes       
[  7]  16.01-17.00  sec  5.00 MBytes  42.2 Mbits/sec    0    913 KBytes       
[  7]  17.00-18.00  sec  5.00 MBytes  42.0 Mbits/sec    0    913 KBytes       
[  7]  18.00-19.01  sec  3.75 MBytes  31.3 Mbits/sec    0    913 KBytes       
[  7]  19.01-20.00  sec  1.25 MBytes  10.5 Mbits/sec    0    913 KBytes       
[  7]  20.00-21.00  sec  2.50 MBytes  21.0 Mbits/sec    0    913 KBytes       
[  7]  21.00-22.01  sec  7.50 MBytes  62.3 Mbits/sec    0    913 KBytes       
[  7]  22.01-23.00  sec  21.2 MBytes   180 Mbits/sec    0    913 KBytes       
[  7]  23.00-24.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  24.00-25.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  25.00-26.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  26.00-27.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  27.00-28.00  sec  23.8 MBytes   199 Mbits/sec    0    913 KBytes       
[  7]  28.00-29.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  29.00-30.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  30.00-31.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  31.00-32.00  sec  23.8 MBytes   199 Mbits/sec    0    913 KBytes       
[  7]  32.00-33.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  33.00-34.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  34.00-35.00  sec  23.8 MBytes   199 Mbits/sec    0    913 KBytes       
[  7]  35.00-36.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  36.00-37.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  37.00-38.00  sec  17.5 MBytes   147 Mbits/sec    0    913 KBytes       
[  7]  38.00-39.00  sec  13.8 MBytes   116 Mbits/sec    0    913 KBytes       
[  7]  39.00-40.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  40.00-41.00  sec  23.8 MBytes   199 Mbits/sec    0    913 KBytes       
[  7]  41.00-42.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  42.00-43.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  43.00-44.00  sec  21.2 MBytes   178 Mbits/sec    0    913 KBytes       
[  7]  44.00-45.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  45.00-46.00  sec  23.8 MBytes   199 Mbits/sec    0    913 KBytes       
[  7]  46.00-47.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  47.00-48.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  48.00-49.00  sec  23.8 MBytes   199 Mbits/sec    0    913 KBytes       
[  7]  49.00-50.01  sec  20.0 MBytes   166 Mbits/sec    0    913 KBytes       
[  7]  50.01-51.00  sec  16.2 MBytes   138 Mbits/sec    0    913 KBytes       
[  7]  51.00-52.00  sec  23.8 MBytes   199 Mbits/sec    0    913 KBytes       
[  7]  52.00-53.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  53.00-54.01  sec  18.8 MBytes   156 Mbits/sec    0    913 KBytes       
[  7]  54.01-55.00  sec  6.25 MBytes  52.8 Mbits/sec    0    913 KBytes       
[  7]  55.00-56.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  56.00-57.00  sec  23.8 MBytes   199 Mbits/sec    0    913 KBytes       
[  7]  57.00-58.00  sec  16.2 MBytes   136 Mbits/sec    0    913 KBytes       
[  7]  58.00-59.00  sec  18.8 MBytes   158 Mbits/sec    0    913 KBytes       
[  7]  59.00-60.01  sec  12.5 MBytes   104 Mbits/sec    0    913 KBytes       
[  7]  60.01-61.00  sec  5.00 MBytes  42.3 Mbits/sec    0    913 KBytes       
[  7]  61.00-62.00  sec  20.0 MBytes   168 Mbits/sec    0    913 KBytes       
[  7]  62.00-63.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  63.00-64.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  64.00-65.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  65.00-66.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  66.00-67.00  sec  23.8 MBytes   199 Mbits/sec    0    913 KBytes       
[  7]  67.00-68.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  68.00-69.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  69.00-70.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  70.00-71.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  71.00-72.00  sec  23.8 MBytes   199 Mbits/sec    0    913 KBytes       
[  7]  72.00-73.00  sec  17.5 MBytes   146 Mbits/sec    0    913 KBytes       
[  7]  73.00-74.00  sec  18.8 MBytes   158 Mbits/sec    0    913 KBytes       
[  7]  74.00-75.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  75.00-76.00  sec  17.5 MBytes   147 Mbits/sec    0    913 KBytes       
[  7]  76.00-77.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  77.00-78.00  sec  21.2 MBytes   178 Mbits/sec    0    913 KBytes       
[  7]  78.00-79.03  sec  16.2 MBytes   133 Mbits/sec    0    913 KBytes       
[  7]  79.03-80.01  sec  2.50 MBytes  21.4 Mbits/sec    0    913 KBytes       
[  7]  80.01-81.00  sec  5.00 MBytes  42.1 Mbits/sec    0    913 KBytes       
[  7]  81.00-82.00  sec  5.00 MBytes  41.9 Mbits/sec    0    913 KBytes       
[  7]  82.00-83.00  sec  11.2 MBytes  94.5 Mbits/sec    0    913 KBytes       
[  7]  83.00-84.00  sec  22.5 MBytes   189 Mbits/sec    0    913 KBytes       
[  7]  84.00-85.00  sec  23.8 MBytes   199 Mbits/sec    0    913 KBytes       
